proper	frequency
divide	1
distributest	1
dispraisest	1
displease	1
dispenser	1
discern	1
disapproveth	1
diminisheth	1
dieth	1
deus	1
desire	1
descend	1
deridedst	1
depart,--(for	1
defended;--he	1
deep,--unlike	1
deceased	1
danae	1
cyprian	1
cup	1
crown	1
creusa	1
creepeth	1
covetousness	1
court	1
couldest	1
continency	1
continence	1
contemplateth	1
consist	1
conjugal	1
confesseth	1
commission	1
commandments	1
commandment	1
commandest	1
cogito	1
coeternal	1
cherubim	1
charity	1
catiline	1
catholics	1
cassiacum	1
careth	1
caredst	1
canticles	1
caesar	1
bride	1
bridal	1
breathedst	1
bread	1
book,--such	1
body	1
blesseth	1
blessedness	1
blamest	1
black	1
bible	1
bestowedst	1
belongeth	1
begun	1
beareth	1
bear	1
basilica	1
balaneion	1
awake	1
author	1
athenians	1
athanasius	1
asketh	1
ashamed	1
artificer	1
aristotle	1
arise	1
arians	1
apostolic	1
apostles	1
anubis	1
answer	1
anaximenes	1
amphitheatre	1
ambrosian	1
all);--could	1
alexandria	1
agito	1
african	1
academicians	1
.	1
--thou	1
