pronoun	frequency
my	409
i	393
thy	219
me	182
you	127
it	111
his	110
thee	101
your	98
their	66
they	54
her	54
he	46
him	38
she	34
our	19
myself	19
mine	19
them	18
we	16
yourself	8
thyself	8
itself	7
themselves	6
yours	4
us	2
theirs	2
himself	2
waken''d	1
one	1
mak''st	1
herself	1
