keyword	frequency
trojans	18
achaeans	18
ulysses	17
jove	11
hector	11
telemachus	9
achilles	8
menelaus	5
man	5
son	3
agamemnon	3
ship	2
phaeacians	2
penelope	2
patroclus	2
minerva	2
alcinous	2
tydeus	1
sea	1
scylla	1
priam	1
pisistratus	1
nestor	1
nausicaa	1
mars	1
laertes	1
irus	1
idomeneus	1
hades	1
eumaeus	1
diomed	1
circe	1
calypso	1
bow	1
autolycus	1
atreus	1
antilochus	1
aeneas	1
