bigram	frequency
death shall	6
held aloof	6
redoubtable bronze	6
killed many	6
clean table	6
brave men	6
say nothing	6
good thing	6
will hold	6
one place	6
among mankind	6
twenty men	6
lower part	6
year old	6
day will	6
therefore went	6
meanwhile ulysses	6
nine years	6
fair words	6
may lie	6
father stranger	6
maid servants	6
every single	6
might come	6
solemn covenant	6
looked fiercely	6
poor man	6
close together	6
olive tree	6
good old	5
might make	5
bossed shields	5
heaven may	5
lately come	5
point went	5
broad shoulders	5
got hold	5
comes near	5
far better	5
sailed away	5
till presently	5
inner court	5
posts supporting	5
never mind	5
close fight	5
jove sent	5
answered penelope	5
great distress	5
good man	5
seen fit	5
flying night	5
loud cries	5
shod spears	5
may bring	5
till minerva	5
river xanthus	5
give ear	5
standing near	5
menelaus struck	5
brought us	5
pages filled	5
good earnest	5
dead men	5
achaean host	5
mother thetis	5
spread panic	5
said nothing	5
golden goblet	5
goodly city	5
body away	5
ulysses came	5
shall bring	5
saw hector	5
mind now	5
gleaming bronze	5
far stronger	5
fallow field	5
stained spoils	5
great abundance	5
golden venus	5
achaeans shouted	5
woollen cloaks	5
give ground	5
left alive	5
will meet	5
everywhere among	5
wo nt	5
old knight	5
wooded mountain	5
will talk	5
achilles went	5
deep waters	5
will lie	5
turned round	5
murderous hector	5
river scamander	5
jove must	5
earth ran	5
one end	5
laid heavily	5
coming home	5
still furious	5
gave chase	5
among heroes	5
comrade patroclus	5
twenty years	5
first place	5
take care	5
heaven robbed	5
already dead	5
safely back	5
now fall	5
river oceanus	5
nodded menacingly	5
valiant though	5
shouted applause	5
much suffering	5
shall die	5
may tell	5
also gave	5
never get	5
jove gave	5
unhappy father	5
will vouchsafe	5
vultures shall	5
immortal god	5
well disposed	5
point blank	5
trojans came	5
son vulcan	5
fifty ships	5
us give	5
main body	5
many tears	5
achaean heroes	5
now going	5
little space	5
hector now	5
mighty ajax	5
whose counsel	5
sun set	5
close beside	5
ashen spear	5
fell back	5
prophet teiresias	5
shall make	5
minerva put	5
fighting till	5
without effect	5
dead patroclus	5
one word	5
make peace	5
done praying	5
goodwill addressed	5
minerva shed	5
noble trojans	5
gave ulysses	5
giving every	5
south wind	5
white barley	5
many presents	5
came towards	5
open country	5
trojans shall	5
brave sons	5
beautiful presents	5
came gushing	5
draw back	5
come forward	5
young women	5
loud war	5
let go	5
heaven grant	5
safely home	5
take troy	5
knight peleus	5
old men	5
now took	5
second time	5
make light	5
heaven will	5
ten talents	5
theban prophet	5
whole people	5
will add	5
goddess calypso	5
dense forest	5
queen juno	5
cunning workmanship	5
whose name	5
whole year	5
wrought iron	5
without paying	5
stood near	5
yet another	5
argives set	5
one will	5
one mind	5
poor wretch	5
good name	5
brave father	5
also came	5
one say	5
spears pointed	5
take heed	5
fast asleep	5
born hereafter	5
apollo said	5
close quarters	5
minerva heard	5
get news	5
deep sleep	5
yet know	5
waited till	5
whole body	5
sped onward	5
fair women	5
us make	5
paying court	5
achaean land	5
shall return	5
strong enough	5
fine house	5
will carry	5
flaming fire	5
like manner	5
fell thick	5
laughed heartily	5
went upstairs	5
good looking	5
one half	5
large tripod	5
ran red	5
sprang towards	5
made answer	5
tasselled aegis	5
came near	5
three years	5
useful arts	5
spring forward	5
eldest daughter	5
high spirit	5
give us	5
achaeans might	5
turn towards	5
great multitude	5
mountain tops	5
ogygian island	5
native land	5
arrow went	5
better men	5
gleaming armour	5
lay hands	5
deep blue	5
said ulysses	5
will one	5
open sea	5
good wear	5
brave menelaus	5
fell forward	5
offer sacrifice	5
much treasure	5
trojan ranks	5
will either	5
will stay	5
great numbers	5
dear mother	4
made haste	4
richly decorated	4
looking fellow	4
holy hecatomb	4
comes back	4
us now	4
people fell	4
hatching mischief	4
blood came	4
minerva made	4
went ashore	4
ship fast	4
find fault	4
ulysses got	4
way rejoicing	4
much good	4
morning came	4
hector sprang	4
men now	4
great goddess	4
fall thick	4
achaean argos	4
us set	4
loving venus	4
deep sigh	4
brave comrades	4
cubits long	4
son antilochus	4
servants poured	4
join us	4
ill treating	4
see us	4
will hide	4
trojan host	4
whole place	4
spoke fondly	4
fly like	4
river axius	4
ulysses took	4
now indeed	4
fight achilles	4
night comes	4
got close	4
proud trojans	4
dearly loved	4
came forward	4
lay stretched	4
room looking	4
two fleet	4
done us	4
mighty diomed	4
shall devour	4
let drive	4
escape destruction	4
jove said	4
good fortune	4
made ready	4
men together	4
turned towards	4
attack us	4
evil deeds	4
gold cup	4
burnt sacrifice	4
yet alive	4
ashen spears	4
long ere	4
now got	4
bad luck	4
offered hecatombs	4
arrow struck	4
third man	4
terrible man	4
will set	4
hide nothing	4
hundred men	4
now see	4
deep slumber	4
great stones	4
utmost speed	4
whole time	4
keep away	4
singularly fleet	4
without even	4
whereas now	4
iris went	4
thick brushwood	4
middle argos	4
spoke minerva	4
salt water	4
might hear	4
priam answered	4
heaven sent	4
seventh day	4
sail home	4
bid us	4
keep quiet	4
name every	4
two pieces	4
