bigram	frequency
way towards	2
juno told	2
murderous hands	2
find trouble	2
strike terror	2
agamemnon went	2
carry farthest	2
escort inasmuch	2
straight towards	2
far ahead	2
noised abroad	2
island called	2
cow dung	2
yet none	2
mighty dead	2
closely serried	2
sweet song	2
much displeased	2
cross jove	2
many flocks	2
horses swerved	2
trojans shouted	2
fight ever	2
blood welled	2
achilles shall	2
hector called	2
strong horses	2
jove thundered	2
must either	2
achaeans say	2
still angry	2
better luck	2
hector already	2
cunning workman	2
achaean women	2
whole voyage	2
indeed will	2
jove hates	2
lose sight	2
long journey	2
taunting speeches	2
stained armour	2
spoke achilles	2
jove shall	2
man born	2
ship sailing	2
merman phorcys	2
neptune spoke	2
hector fall	2
may return	2
torch light	2
pisistratus lashed	2
seat near	2
glaucus leave	2
gods grant	2
lamentation saying	2
agamemnon saw	2
well versed	2
still currents	2
offer sacrifices	2
bore sarpedon	2
gallops gloriously	2
man either	2
lay concealed	2
father went	2
sea just	2
two goddesses	2
pramnian wine	2
beat fast	2
lays hold	2
comes thundering	2
furious hector	2
cruel fate	2
apollo killed	2
tempts people	2
well spoken	2
first instance	2
like men	2
much money	2
longer face	2
now make	2
daughter will	2
pelasgian lethus	2
orchard lawns	2
proud spirit	2
back without	2
testimony among	2
levelled ground	2
first aimed	2
hector killed	2
another time	2
battle rage	2
crew came	2
spoke sarpedon	2
may advise	2
fight sooner	2
proud son	2
bloodstained spoils	2
people might	2
place called	2
old wallet	2
many sea	2
will play	2
will unman	2
tydeus came	2
prize money	2
indeed better	2
slow still	2
offer hecatombs	2
quite near	2
gracious mind	2
bread baskets	2
took pleasure	2
one single	2
built near	2
son thrasymedes	2
brave comrade	2
tydeus see	2
got supper	2
us turn	2
may please	2
great house	2
fought among	2
wondering back	2
heart even	2
rarest workmanship	2
find sad	2
hand towards	2
achilles showed	2
visit menelaus	2
will undertake	2
nothing left	2
jove vouchsafes	2
antinous scolded	2
fair house	2
diomed go	2
towards ulysses	2
sleeping sweetly	2
another driver	2
snowy summits	2
reached home	2
must get	2
arete told	2
heard nothing	2
need say	2
now reigning	2
great trouble	2
retire within	2
will reach	2
came agamemnon	2
sthenelus son	2
kept thinking	2
stones set	2
men disobeyed	2
six sons	2
honoured mother	2
others passed	2
son neoptolemus	2
humbly pray	2
like measure	2
great city	2
arms sometimes	2
evil will	2
will box	2
floored mansion	2
think proper	2
euphorbus son	2
people draw	2
comrades now	2
comes tearing	2
said nestor	2
replied penelope	2
sometimes send	2
heavy swell	2
people often	2
quite dead	2
speak wisely	2
early morning	2
back midway	2
will promise	2
men fell	2
island far	2
bed fellow	2
achilles gave	2
trembled within	2
swineherd led	2
hard task	2
ulysses glared	2
showed us	2
dwell among	2
high tower	2
half talent	2
atreus rose	2
arrow standing	2
twenty trojan	2
may keep	2
see fit	2
now living	2
projecting part	2
three brilliant	2
knew nothing	2
bandying hard	2
now woke	2
us without	2
full towards	2
indeed come	2
took charge	2
bellowing like	2
still fighting	2
fight without	2
dead sadly	2
horses went	2
sawn ivory	2
achilles smote	2
cretans answered	2
erewhile took	2
diomed stayed	2
may expect	2
maids also	2
will presently	2
achaean youths	2
long used	2
upper room	2
drove us	2
vain hopes	2
kinsmen will	2
poor wretches	2
slices cut	2
pronged spits	2
keep one	2
great anger	2
will bury	2
thracian sword	2
counselling jove	2
goatherd melanthius	2
win great	2
golden arrows	2
know one	2
cupbearer go	2
others remain	2
wind blew	2
bridal chamber	2
fair mantles	2
strength holds	2
greatly angered	2
either join	2
armour flashed	2
eat bread	2
life ebbed	2
heaven delivers	2
menelaus went	2
native country	2
light gossamer	2
everlasting gods	2
wife clytemnestra	2
gods stand	2
began chopping	2
suitors try	2
menelaus took	2
replied alcinous	2
somewhere else	2
first went	2
will point	2
little life	2
huge achilles	2
twenty iron	2
melantho began	2
perished far	2
mecisteus son	2
now therefore	2
away without	2
like fishes	2
telemachus called	2
dolon answered	2
past us	2
winds blow	2
clear fire	2
must therefore	2
without one	2
hair grow	2
blood flowing	2
apollo will	2
bitterly hereafter	2
stubble fires	2
towards achilles	2
great sum	2
set cups	2
others applauded	2
gods give	2
heavy sigh	2
olympian lord	2
flew onward	2
fate lured	2
ulysses told	2
ravening wolves	2
jove spread	2
break away	2
beautifully enriched	2
peleus now	2
will sack	2
served us	2
shall slay	2
well able	2
visit oceanus	2
public moment	2
father tydeus	2
now set	2
take pleasure	2
saturn sitting	2
daybreak till	2
good stiff	2
lycian warriors	2
became hot	2
beside tithonus	2
woman servant	2
sea quaked	2
us still	2
little fellow	2
low fellow	2
now dead	2
goodly chariot	2
hundred cities	2
went wondering	2
saved us	2
us back	2
full soon	2
stood looking	2
dogs shall	2
us fail	2
men approved	2
goes near	2
crafty ulysses	2
shall kill	2
mighty city	2
dark earth	2
homeward voyage	2
skin full	2
pointed spears	2
always good	2
head like	2
heavy cloak	2
men spoke	2
awful proserpine	2
stout ox	2
may disgrace	2
till rosy	2
polydamas went	2
eleven days	2
fair fields	2
day shall	2
heralds went	2
apollo took	2
daughter helen	2
first drove	2
grassy dell	2
menelaus fight	2
minerva left	2
mount pelion	2
rare workmanship	2
male sheep	2
apollo vouchsafes	2
hateful self	2
two white	2
small thing	2
either god	2
know everything	2
fair golden	2
carver fetched	2
single fold	2
goodly garden	2
eddying waters	2
blood till	2
add yet	2
chosen men	2
flying like	2
dardanian gates	2
made drink	2
achilles drew	2
may pass	2
juno put	2
home may	2
aeolian island	2
great ox	2
hands alike	2
shall ask	2
admirable wife	2
mighty saturn	2
angry answer	2
bed chamber	2
sharp stakes	2
charioteer drive	2
haired menelaus	2
never remain	2
never going	2
sad spirit	2
myrmidons gather	2
five years	2
jove takes	2
shall serve	2
may carry	2
cowardly creatures	2
presently deprived	2
gods met	2
fight well	2
killed antinous	2
shall fare	2
mixing bowls	2
one comes	2
obedient steeds	2
come safely	2
honoured among	2
king peleus	2
still nurses	2
achilles next	2
shield turned	2
brave lycians	2
helmet came	2
jove let	2
fain fight	2
sharpened bronze	2
overarching cavern	2
goodly raiment	2
clothes calypso	2
equitably amongst	2
without gifts	2
back within	2
redoubtable son	2
golden cruse	2
minerva daughter	2
shall save	2
father well	2
show us	2
one hit	2
take twenty	2
one way	2
stiff breeze	2
also better	2
spoke eurylochus	2
brain inside	2
one behind	2
found achilles	2
us gods	2
swineherd brought	2
now went	2
also let	2
apollo lord	2
immortal blood	2
still fought	2
thick forest	2
patroclus drew	2
show fight	2
water round	2
better horses	2
back neither	2
just got	2
will ransom	2
covered cloisters	2
ships away	2
gods must	2
bard also	2
woman though	2
replied menelaus	2
near ulysses	2
gave ear	2
one living	2
guardian angel	2
mid ocean	2
ever shall	2
cheeked helmet	2
pitiable end	2
men laid	2
will fall	2
assembly till	2
man instantly	2
blood runs	2
saw helen	2
whose peer	2
curls like	2
next came	2
give good	2
honoured servant	2
winnowing shovel	2
take compassion	2
others still	2
even jove	2
six lusty	2
also twelve	2
take something	2
brought disgrace	2
eyes askance	2
might learn	2
gone since	2
proud sons	2
maids brought	2
human flesh	2
came among	2
chest near	2
dogs devour	2
general engagement	2
sat silent	2
serious matter	2
idomeneus captain	2
woman skilled	2
give chase	2
neither will	2
eyes flashed	2
old dolius	2
great black	2
wondrous shield	2
fling fire	2
go even	2
may understand	2
death staring	2
achilles vaunted	2
well knew	2
towards dawn	2
rocky calydon	2
poor fellows	2
great white	2
richly inlaid	2
seats inside	2
got wind	2
ulysses lay	2
wind sweeps	2
idomeneus struck	2
panic stricken	2
flew past	2
beat high	2
battle though	2
poor people	2
lightning will	2
lightning struck	2
euryclea said	2
except one	2
called telemachus	2
dwell near	2
draw blood	2
foremost champion	2
fifty oarsmen	2
old insolence	2
rich city	2
shall remember	2
fat goats	2
rained thick	2
make amends	2
blessed god	2
mother tethys	2
island sorrowing	2
water became	2
great eetion	2
will sit	2
brave warriors	2
just taken	2
eyes glare	2
within reach	2
great neptune	2
immortal nymphs	2
son leave	2
good humour	2
jove vouchsafed	2
eldest son	2
apollo caught	2
fleet messengers	2
four hides	2
ithaca openly	2
greater fury	2
killing great	2
fame shall	2
twelve yearling	2
ulysses also	2
spear fell	2
turned pale	2
get supper	2
proud diomed	2
anger will	2
twenty young	2
every way	2
get close	2
will rue	2
made glaucus	2
workman vulcan	2
well paid	2
starts back	2
way hither	2
tumblers went	2
euryalus son	2
shall lay	2
shall bear	2
know better	2
great people	2
dark blood	2
broad river	2
almighty jove	2
uprose great	2
hurried back	2
barbed arrow	2
shed sweet	2
days gone	2
always said	2
battle raged	2
high feast	2
yet others	2
lay low	2
consider whether	2
savage lion	2
without heaven	2
us argives	2
pressing forward	2
another round	2
prayed aloud	2
amber beads	2
much alike	2
rolling round	2
black cloud	2
lot fell	2
king pheidon	2
will confirm	2
achilles struck	2
ulysses made	2
good herald	2
girdle round	2
aepea also	2
topmost crest	2
girt island	2
neither shall	2
might fight	2
orator among	2
slain yet	2
dead son	2
suitors came	2
two took	2
indeed remember	2
golden cloud	2
stripped patroclus	2
silver work	2
crew bring	2
us ask	2
good shirt	2
take ilius	2
men dragging	2
fell backwards	2
richest city	2
will essay	2
long away	2
sweet voices	2
saw eumaeus	2
best pig	2
noble comrade	2
will lame	2
carried hither	2
insolent fellow	2
famous bowman	2
yet though	2
snowy heights	2
greater glory	2
never giving	2
come thundering	2
going round	2
white tusks	2
six daughters	2
saw mentor	2
saturn turned	2
preceding day	2
facile speaker	2
dare devil	2
lighter blow	2
goddess circe	2
soon bear	2
go within	2
achaeans brought	2
god took	2
heaven send	2
just managed	2
never return	2
till agamemnon	2
shook hands	2
less valiant	2
people followed	2
within earshot	2
sent message	2
better part	2
bad news	2
flew holding	2
return safely	2
let heaven	2
fair meonia	2
one shall	2
phaeacian coast	2
runs high	2
couch beside	2
ship flew	2
hand near	2
answering one	2
come forth	2
light alike	2
one spear	2
nestor went	2
will respect	2
stood stock	2
sailed sadly	2
away groaning	2
fall back	2
nurse went	2
sea came	2
ran back	2
evil times	2
idomeneus speared	2
good courage	2
quite rightly	2
idaeus went	2
befall us	2
mother brought	2
see nothing	2
heaven bellowed	2
prodigious force	2
utter ruin	2
ajax said	2
never clear	2
call jove	2
apollo shouted	2
great anvil	2
mighty boxer	2
picked crew	2
hector shouted	2
rate let	2
drive hector	2
insulting people	2
men ever	2
last menelaus	2
great riches	2
spear hit	2
short time	2
bring deliverance	2
altar fragrant	2
several places	2
pitiless stone	2
gone back	2
bound round	2
mother gave	2
hector thereon	2
except laodamas	2
bold hussy	2
bones lie	2
will restore	2
immortal head	2
former prowess	2
answered helen	2
came driving	2
crested helmet	2
lycian captains	2
whole weight	2
winged arrow	2
especial honour	2
came presently	2
god came	2
good men	2
welcomed home	2
heart sank	2
great thing	2
antilochus hit	2
dead aft	2
wind sprang	2
often hear	2
sometimes tempts	2
watered shore	2
prayed inwardly	2
agamemnon rose	2
till mars	2
great heavens	2
become soiled	2
better times	2
achaeans stood	2
egyptian thebes	2
renowned ulysses	2
slay till	2
spoken wisely	2
took two	2
vulcan answered	2
thetis came	2
may lose	2
outer courtyard	2
wage war	2
much think	2
mean mischief	2
friend among	2
first find	2
stand aloof	2
king helenus	2
helped us	2
mourning round	2
two sat	2
pisander son	2
man shall	2
achaeans gathered	2
nothing save	2
without compunction	2
thundered loudly	2
certain whether	2
rock near	2
making trial	2
will explain	2
red snake	2
blow hard	2
river aegyptus	2
fight alive	2
will recall	2
feckless ghosts	2
now face	2
lying asleep	2
eyes glared	2
penelope heard	2
fleet dogs	2
property amongst	2
one going	2
ships along	2
rich sanctuary	2
five year	2
keep hanging	2
took nothing	2
tydeus will	2
killed two	2
trojan horses	2
breaks loose	2
must consider	2
also much	2
stately dance	2
four days	2
sat alone	2
heaven dispersed	2
present let	2
peleus son	2
mother shall	2
people shall	2
fair fight	2
feeble folk	2
due pomp	2
presently menelaus	2
two stood	2
safe return	2
delicate hand	2
facing orion	2
next offered	2
said will	2
ill fate	2
mist came	2
hear things	2
broad back	2
ulysses standing	2
seat facing	2
go sailing	2
us may	2
break even	2
mighty wave	2
fair youth	2
beyond measure	2
greaves fitted	2
serpent ate	2
telemachus strode	2
serviceable suggestions	2
ilius till	2
offices due	2
among women	2
keeping back	2
good thick	2
minerva flung	2
buried deep	2
good make	2
honourable courtesy	2
keep coming	2
old prophecy	2
gave ajax	2
weeping round	2
might set	2
high hills	2
stay talking	2
make good	2
catch hold	2
rich family	2
will cease	2
twelve fair	2
flying pell	2
chopping firewood	2
fat hog	2
plague us	2
loth midway	2
great staircase	2
sped onwards	2
many also	2
suitors ask	2
dearest friend	2
silver plate	2
golden scales	2
good wife	2
guess right	2
came rolling	2
loyal service	2
dark till	2
lycian archer	2
said antinous	2
noble epeus	2
faring folk	2
sorrow will	2
rays pierce	2
us often	2
best boxer	2
good counsel	2
shed light	2
ulysses come	2
cut short	2
advantageous offer	2
nestor whose	2
large fire	2
horned stag	2
ever fought	2
adamas son	2
studied art	2
fenced homestead	2
plainness exactly	2
also bore	2
hector spoke	2
juno made	2
woman took	2
telemachus bound	2
make sure	2
may escape	2
set close	2
shield four	2
take aim	2
high mountains	2
skin cap	2
also prayed	2
apollo spoke	2
oileus took	2
killed one	2
people escorts	2
equal number	2
never set	2
best plan	2
brawny hands	2
uncle neptune	2
crew together	2
ulysses never	2
little longer	2
words come	2
neither eat	2
spear broke	2
picked men	2
return till	2
won races	2
white south	2
ulysses reached	2
beside jove	2
terrible cry	2
bard demodocus	2
dark blue	2
ground seethed	2
goodly cauldron	2
force ajax	2
waggon fast	2
swift messenger	2
cry spoke	2
dry ox	2
great woolly	2
looked angrily	2
flocks unharmed	2
till sundown	2
ulysses stayed	2
men even	2
night may	2
change colour	2
people live	2
moreover let	2
giving people	2
hearts sank	2
regards rescuing	2
morn appeared	2
god presently	2
keep aloof	2
black sheep	2
will answer	2
fled pell	2
hector saying	2
mighty ilius	2
perfectly well	2
already close	2
excellent mother	2
poor feckless	2
may wash	2
saturn will	2
poor mother	2
protect us	2
right feeling	2
formal notice	2
apollo saying	2
well grown	2
gods went	2
plain amid	2
ships even	2
groaning heavily	2
sea grew	2
every point	2
like seeing	2
kept always	2
sail back	2
ulysses returned	2
peace among	2
luck go	2
venus answered	2
danaans still	2
thickly peopled	2
like minerva	2
fat five	2
dust rose	2
sprang like	2
tell people	2
might even	2
wide open	2
machaon son	2
whose lot	2
pleased jove	2
make ready	2
may catch	2
head saying	2
desert island	2
presently diomed	2
thin legs	2
jove grant	2
might win	2
powerful goddess	2
tydeus slew	2
chest like	2
forgotten ulysses	2
brave ajax	2
minerva driver	2
hyacinth blossoms	2
neither get	2
narrow place	2
spoken reasonably	2
ill counsels	2
horses stood	2
valleyed ida	2
sandy pylos	2
lycian apollo	2
just killed	2
always wanted	2
tydeus went	2
yet broken	2
us suitors	2
nothing else	2
now met	2
host approaching	2
without flinching	2
heard jove	2
flashed fire	2
darting apollo	2
lion fastens	2
swineherd now	2
find shelter	2
think well	2
ships rang	2
deep chest	2
sped forward	2
poor things	2
drive straight	2
put strength	2
many achaeans	2
called ulysses	2
cut carefully	2
crew took	2
yet felt	2
another without	2
fall among	2
held back	2
man saw	2
might dwell	2
whatever wanted	2
wooded slopes	2
kept watch	2
older person	2
proud city	2
sleep might	2
clear water	2
eighty ships	2
mountain savages	2
lie dead	2
children will	2
brood mares	2
tell king	2
make serviceable	2
nothing better	2
fresh wound	2
see ulysses	2
reached mid	2
common lot	2
cross plank	2
storm winds	2
menelaus told	2
wanted ulysses	2
blew dead	2
pheidon king	2
huddle together	2
rose high	2
strength will	2
apollo may	2
sheer rock	2
fell rolling	2
bounteous earth	2
many beautiful	2
one dazed	2
know neither	2
women inside	2
us retreat	2
away though	2
honourable men	2
will destroy	2
lose heart	2
hector may	2
gods bring	2
antilochus sprang	2
armour now	2
whole host	2
meanwhile ajax	2
will build	2
eddying stream	2
meges son	2
rugged ithaca	2
hot fire	2
grief fell	2
argives will	2
lay others	2
though heaven	2
excellent workwomen	2
one chariot	2
women will	2
find pandarus	2
without food	2
will rot	2
great bar	2
achaeans whose	2
till menelaus	2
dying danaans	2
took pity	2
achilles spoke	2
melancholy end	2
meadow full	2
two others	2
awful monster	2
xanthus filled	2
bath room	2
battle without	2
will govern	2
will tear	2
shall know	2
minerva now	2
tear fell	2
salt sea	2
unseemly way	2
limbs fail	2
good bye	2
came oozing	2
third time	2
getting back	2
going away	2
men shall	2
hand without	2
sensible person	2
two go	2
aeneas killed	2
sad comfort	2
suitors kept	2
snowy ranges	2
fight hand	2
famous sons	2
twelve cloaks	2
fighting followers	2
lovely woman	2
gleaming corslet	2
flowing oceanus	2
darted towards	2
whose counsels	2
hero eurypylus	2
learn jove	2
twelve brood	2
meriones took	2
one ever	2
bravest man	2
jove lord	2
wedded lord	2
shall look	2
menelaus said	2
know anything	2
whole crew	2
minerva raised	2
full fight	2
armed warrior	2
terribly afraid	2
part among	2
turned aside	2
eyes fell	2
front now	2
handled urn	2
alcinous led	2
now placed	2
ever since	2
will gild	2
evil gifts	2
stood forward	2
ulysses heard	2
will consider	2
equal share	2
argives stood	2
argives went	2
took refuge	2
cross piece	2
trojans fell	2
also saw	2
rich meadows	2
imperishable staff	2
began washing	2
strong mule	2
monstrous blood	2
exposed near	2
trojans now	2
without blemish	2
man struck	2
talk unseemly	2
antilochus son	2
real truth	2
hector let	2
saw shirking	2
dead hero	2
stepmother eriopis	2
battle till	2
lived near	2
browed heifer	2
long voyage	2
death among	2
utterly without	2
fat sheep	2
tamarisk bush	2
sixty ships	2
sea runs	2
ever came	2
teiresias shall	2
full bloom	2
brave companions	2
set purpose	2
lusty youths	2
let teucer	2
aimed another	2
giving ground	2
fell fainting	2
ulysses reveals	2
found alexandrus	2
also among	2
blessed sun	2
vouchsafed us	2
may kill	2
sons born	2
tell agamemnon	2
fell quivering	2
patroclus kept	2
fast hold	2
dear old	2
another seat	2
argive helen	2
seat beside	2
done much	2
achilles made	2
blind theban	2
excellent father	2
many friends	2
skilful workman	2
two brawny	2
agamemnon took	2
achilles cut	2
sails inside	2
spear eleven	2
shrill winds	2
chariot race	2
dark abode	2
will sacrifice	2
dear young	2
huge black	2
six feet	2
divided whether	2
heard one	2
please heaven	2
mix salt	2
fell like	2
egyptians killed	2
whose wife	2
ilius shall	2
take ulysses	2
eagle came	2
turn homeward	2
ulysses knew	2
polished marble	2
good opinion	2
therefore rose	2
honourable man	2
lions prowling	2
never forget	2
dardanians good	2
accounted wealthy	2
ingloriously back	2
hector fell	2
us talk	2
one voice	2
two moliones	2
heart yearned	2
ever given	2
away much	2
like one	2
precious piece	2
bounded forward	2
great rocks	2
good deeds	2
protectest chryse	2
message may	2
lies deep	2
saturn looked	2
open part	2
alone know	2
son behind	2
hardly done	2
peleus brought	2
fierce fire	2
good ship	2
iris came	2
remain inside	2
wooded island	2
aeneas sprang	2
full flood	2
nine ships	2
grew old	2
gossamer fabric	2
point stuck	2
battle like	2
whirling clouds	2
fairest robe	2
ever born	2
vaunted loudly	2
mighty warriors	2
tripod full	2
ever sailed	2
iron cauldrons	2
foam hissed	2
minerva will	2
fought furiously	2
father sent	2
mighty triumph	2
full fed	2
jove raised	2
jutting rock	2
find friends	2
wintry dodona	2
soon carried	2
river sangarius	2
great bronze	2
already given	2
going towards	2
dawn rose	2
neither ships	2
ten double	2
quarrel may	2
now struck	2
goddesses drove	2
men away	2
wondrous armour	2
always babble	2
burning brands	2
much goodly	2
may begin	2
gone away	2
mighty sword	2
got dinner	2
lost hold	2
seven talents	2
hours preside	2
river spercheius	2
livelong night	2
phylace away	2
much shocked	2
long gone	2
asius son	2
may fight	2
fiery furnace	2
noble peleus	2
never ceased	2
stood right	2
others set	2
man looked	2
another achilles	2
saturn bowed	2
go alone	2
olympus among	2
chieftains killed	2
two ends	2
ever saw	2
another said	2
shall first	2
richly dowered	2
eight years	2
legs plying	2
aeneas son	2
wedding presents	2
servants brought	2
back safely	2
bearing away	2
eminent among	2
good dinner	2
pair went	2
tell calypso	2
minerva set	2
whose blood	2
menelaus rose	2
presently found	2
fighting among	2
agamemnon sent	2
fertile thrace	2
juno darted	2
women skilled	2
outer meats	2
now fighting	2
ghosts came	2
now forgo	2
trees grew	2
suitors went	2
become even	2
fight bravely	2
arrow sped	2
priam said	2
another person	2
idomeneus vaunted	2
found standing	2
immortal mother	2
soldier among	2
bid priam	2
homed stag	2
bed outside	2
will succeed	2
certain man	2
terrific fury	2
laid heavy	2
reached troy	2
fall dying	2
shall put	2
came first	2
another struck	2
established cities	2
stalwart squire	2
rich mycene	2
like also	2
carefully aeaean	2
fight among	2
yet brought	2
flame played	2
life yet	2
stay away	2
noble wife	2
ulysses drew	2
pay us	2
yet speaking	2
exceedingly near	2
looking west	2
many myrmidons	2
cape malea	2
euryclea left	2
crew found	2
now jove	2
will speak	2
sweating steeds	2
sufficient hecatombs	2
close outside	2
many different	2
will lead	2
wandering rocks	2
made yet	2
juno sat	2
many excellent	2
three best	2
linen cloth	2
cry called	2
great straits	2
great joy	2
night came	2
hide shields	2
yet takes	2
killed agamemnon	2
issue lies	2
shall send	2
purple wool	2
gates like	2
well lay	2
dear parents	2
one hope	2
doors behind	2
marry penelope	2
stranger come	2
also like	2
huntress diana	2
twenty oxen	2
struck panic	2
even king	2
monster gorgon	2
haired rhadamanthus	2
distress may	2
calypso went	2
let ulysses	2
thrice happy	2
without misadventure	2
gleaming girdle	2
just told	2
surpassing beauty	2
desperately heretofore	2
making merry	2
red nectar	2
tramp irus	2
murderous course	2
peleus bore	2
crowded round	2
eighth year	2
hand horse	2
never live	2
atreus went	2
bringing back	2
shield clashed	2
make short	2
shall congratulate	2
achilles still	2
still worse	2
city groaning	2
never see	2
sit beside	2
death though	2
called loudly	2
valued friend	2
lusty sons	2
undressed bullock	2
heaven vouchsafes	2
comrades bore	2
achaean ships	2
ulysses led	2
come flying	2
jove thunder	2
quite clear	2
now eating	2
even mars	2
will settle	2
bath water	2
sacrificing priest	2
reach ithaca	2
ulysses hung	2
phaeacian ship	2
minerva saw	2
wise man	2
convincing proofs	2
cry sprang	2
escape us	2
menestheus son	2
blood still	2
give back	2
others bear	2
wonderfully like	2
ajax threw	2
every hope	2
priam come	2
priam bade	2
never thought	2
whose hand	2
came also	2
mighty monster	2
hard even	2
achilles dealt	2
herding cattle	2
rest alive	2
perish ingloriously	2
yet live	2
daughter may	2
great value	2
black hull	2
twelfth day	2
mother marry	2
also given	2
grim mars	2
three noble	2
good cheer	2
kept trying	2
may try	2
word among	2
will join	2
sensible people	2
us stay	2
one came	2
spring towards	2
quite reasonable	2
lying struck	2
glittered like	2
stern cables	2
longer hold	2
noble pelasgi	2
always slept	2
came ringing	2
dead heat	2
without heed	2
roast meat	2
might see	2
thick wood	2
round achilles	2
thrown spear	2
comfortably enough	2
now lording	2
gods vouchsafe	2
two corpses	2
now mars	2
will prevent	2
hearts took	2
minerva began	2
valiant warriors	2
rest swear	2
may drink	2
ulysses wore	2
also called	2
must offer	2
without sleep	2
agelaus son	2
now holding	2
slain noble	2
flowing river	2
nothing shall	2
fair town	2
hundred tassels	2
rocky imbrus	2
divine comeliness	2
people speak	2
servant presently	2
presently came	2
rock fell	2
ran towards	2
fell talking	2
spear shall	2
reach achaean	2
miserable end	2
servant medon	2
time ulysses	2
rich plains	2
near priam	2
doughty spear	2
agelaus shouted	2
alone never	2
great want	2
gives ear	2
dread erinyes	2
us lie	2
wrought gold	2
servants came	2
among one	2
first wash	2
took ulysses	2
cunning counsel	2
poor men	2
gathered much	2
ere ever	2
old nurse	2
apollo sent	2
green old	2
saw agamemnon	2
will escape	2
bring light	2
fled back	2
considered whether	2
speeding towards	2
trojans might	2
brave allies	2
see mischief	2
praying heartily	2
always contradicts	2
man came	2
came eighty	2
slept soundly	2
duty bound	2
piteous moan	2
standing round	2
set beds	2
bed till	2
ever among	2
fastest runner	2
achaeans raised	2
mule foals	2
holy cilla	2
perfectly able	2
ever ulysses	2
warrior though	2
mighty uproar	2
mighty arms	2
never comes	2
sorrow shall	2
barren ocean	2
great weight	2
yet lay	2
fleet runner	2
trojans fled	2
property among	2
comrades saying	2
may say	2
opposite ulysses	2
never bore	2
may prove	2
hearted husband	2
fear neither	2
iris left	2
far rather	2
archer goddess	2
came across	2
larger one	2
prince among	2
longer stay	2
hosts aimed	2
may become	2
fleetest runner	2
dry ground	2
fine young	2
men loose	2
fare well	2
gygaean lake	2
good runner	2
whose doom	2
good strong	2
taloned vultures	2
child may	2
now gave	2
avoid one	2
noble sir	2
little need	2
tawny lion	2
omened name	2
death enfolded	2
went quickly	2
hector looked	2
come among	2
first prize	2
strong fortress	2
much taller	2
dark cyanus	2
loth towards	2
noemon son	2
getting dinner	2
much younger	2
nestor answered	2
mother juno	2
eyed goddess	2
mourn patroclus	2
sleep took	2
came tumbling	2
juno lashed	2
waiting woman	2
taking away	2
sons left	2
eumaeus prayed	2
god set	2
sit apart	2
shameless self	2
say good	2
giving chase	2
wallet full	2
priam spoke	2
disposed suppliants	2
therefore go	2
thick clouds	2
even trying	2
richly wrought	2
eyes gleamed	2
achilles rose	2
friends around	2
twelve noble	2
sword drawn	2
rouse fierce	2
mother came	2
many sons	2
narrow space	2
people came	2
turn gave	2
neither right	2
achilles drive	2
brave though	2
whereon minerva	2
danaan heroes	2
goats without	2
wounded though	2
rising like	2
hector takes	2
mars robbed	2
achaeans followed	2
early summer	2
achaeans back	2
never dare	2
shall rend	2
attack ulysses	2
four plumes	2
lest one	2
bad ways	2
two hundred	2
neptune raise	2
sat side	2
ulysses hit	2
public feeling	2
stay hector	2
without losing	2
fair baskets	2
diocles lived	2
chariot races	2
god went	2
will wash	2
sheep belonging	2
fresh water	2
bed ready	2
driven towards	2
drew close	2
great beauty	2
sitting near	2
ajax came	2
achaeans used	2
ebb away	2
now befallen	2
gold brooch	2
travel far	2
tell ulysses	2
mane streams	2
natural disposition	2
another like	2
heart began	2
due rites	2
even mix	2
now give	2
helping people	2
just coming	2
saw us	2
care neither	2
atreus came	2
great sea	2
afraid jove	2
sallies forth	2
wood fire	2
others may	2
ambrosial forage	2
spear still	2
narrow passage	2
large stones	2
played us	2
ulysses may	2
mountain dell	2
covered diomed	2
man feared	2
took supper	2
landing place	2
brave achaeans	2
came full	2
sea midway	2
far beneath	2
whose horses	2
will sleep	2
meanwhile melanthius	2
pleased hector	2
green grass	2
goddess took	2
sat upright	2
twelve strong	2
penelope began	2
hearted paris	2
side lest	2
evil counsel	2
chryseis also	2
done dinner	2
right wrist	2
much distress	2
due order	2
large sum	2
neither go	2
still weeping	2
people going	2
sailed home	2
may hope	2
therefore set	2
without offering	2
clamorous throughout	2
excellent seer	2
put telemachus	2
argive fleet	2
coward henceforward	2
house without	2
another arrow	2
cut stones	2
now idomeneus	2
fight us	2
ulysses rejoiced	2
king menelaus	2
took every	2
honour among	2
much booty	2
back alive	2
achilles stayed	2
persuade ulysses	2
roughly away	2
mount ida	2
like sheep	2
cut lengthways	2
great wickedness	2
linen sheet	2
swineherd came	2
admirable woman	2
bronze helmet	2
hind might	2
going along	2
slinks sulkily	2
quivering till	2
hardship reach	2
day broke	2
achaeans design	2
spear pierced	2
many men	2
telling lies	2
ulysses sit	2
now turned	2
kept turning	2
stayed behind	2
little children	2
readily give	2
best looking	2
spoke jove	2
much harm	2
rich treasure	2
aeaean circe	2
stones come	2
good master	2
cruel manner	2
right angles	2
youths set	2
will pass	2
apisaon son	2
double lined	2
comfortable ordinances	2
now offered	2
us better	2
noble nestor	2
meriones sprang	2
aloud saying	2
great slaughter	2
hundred oxen	2
got safely	2
lycaon shouted	2
patroclus struck	2
jove vouchsafe	2
suitors single	2
peace whereby	2
achaeans find	2
around one	2
much dismayed	2
leaving home	2
man now	2
come along	2
good one	2
may direct	2
poor comrades	2
