pronoun	frequency
he	4744
his	3828
you	3720
i	3199
him	2936
it	2270
they	2070
them	1815
me	1623
my	1534
their	1350
your	1238
her	1160
she	984
we	899
us	600
our	444
himself	241
its	152
myself	146
yourself	136
themselves	121
herself	57
one	47
itself	45
ourselves	30
mine	17
yours	10
ours	8
yellow-	3
thy	3
thee	3
earth-	3
yourselves	2
theirs	2
hers	2
evil-	2
well-	1
single-	1
