adverb	frequency
eventually	1
entirely	1
encouragingly	1
elsewhither	1
elder	1
eagerly	1
dreadfully	1
downstairs	1
doubtless	1
doubt	1
dizzy	1
disrespectfully	1
disguised	1
disgracefully	1
discourse	1
differently	1
decently	1
day-	1
dangerously	1
dally	1
daily	1
curly	1
curiously	1
cruelly	1
covertly	1
course	1
contrary	1
completely	1
compassionately	1
comfortingly	1
clearly	1
cheeringly	1
carelessly	1
buzz	1
busily	1
brutally	1
broken-	1
broader	1
briskly	1
brighter	1
briefly	1
bloodlessly	1
blindly	1
blank	1
battledore	1
awe-	1
atrociously	1
astray	1
asleep	1
ashen	1
apiece	1
amply	1
amongst	1
all-	1
aimlessly	1
age-	1
admiringly	1
across	1
abundantly	1
absolutely	1
abominably	1
aboard	1
-	1
